"asynchronyBetween","meanStabilityProduction","sdStabilityProduction","det"
0,3.60410595761376,1.99008526162312,"none"
0.1,3.98950020964516,1.72094705748872,"none"
0.2,4.20983750013678,1.65042196347746,"none"
0.3,4.85742218763255,2.11066480504936,"none"
0.4,5.37148619571063,2.2178821403338,"none"
0.5,6.03989028826245,2.51124085890608,"none"
0.6,6.80648629680607,2.55042382510635,"none"
0.7,7.58245730121578,2.85716249283414,"none"
0.8,8.92794710993137,3.36446699905818,"none"
0.9,12.2004510250968,4.52614298911297,"none"
1,25.1516404552292,14.387847540711,"none"
0,4.90984049639186,3.11233825644602,"lm"
0.1,5.02820708067073,1.98190951149232,"lm"
0.2,5.30571218449461,2.38792758342293,"lm"
0.3,5.77917826501331,2.39380197764629,"lm"
0.4,6.45633874446787,2.75970834737119,"lm"
0.5,7.08674758533107,2.73729758611185,"lm"
0.6,7.81846040077679,3.2157377927572,"lm"
0.7,9.01351900644957,3.68085702110415,"lm"
0.8,10.6837181707467,4.13295889033183,"lm"
0.9,14.1068292342673,5.63776775161657,"lm"
1,26.6328965777542,12.338727935141,"lm"
0,5.13964426676748,2.50422050900795,"loess"
0.1,5.67862707902297,2.45002374391972,"loess"
0.2,6.42761518376791,3.01841963778274,"loess"
0.3,6.57754037093013,2.76679004707258,"loess"
0.4,6.86549492316097,3.21568554257549,"loess"
0.5,7.4746725184426,3.14231816274856,"loess"
0.6,8.19639409522036,3.52577538260916,"loess"
0.7,8.76431467869176,4.45054397216419,"loess"
0.8,9.63849968734453,4.40356780973227,"loess"
0.9,10.7671014533264,5.56919505579812,"loess"
1,15.6765404450946,9.0391549175872,"loess"
